symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
H5J13,2013Apr,2013,4,15,2013,2,15,59,6.288,6.288,6.288,6.288,0,0
H5J13,2013Apr,2013,4,15,2013,2,22,52,6.2478,6.2478,6.2478,6.2478,0,0
H5J13,2013Apr,2013,4,15,2013,2,25,49,6.248499,6.248499,6.2434,6.2456,76,15
H5J13,2013Apr,2013,4,15,2013,2,26,48,6.244,6.244,6.2413,6.2433,6,11
H5J13,2013Apr,2013,4,15,2013,2,27,47,6.2391,6.2433,6.2375,6.2433,11,15
H5J13,2013Apr,2013,4,15,2013,2,28,46,6.2353,6.2353,6.2353,6.2353,0,15
H5J13,2013Apr,2013,4,15,2013,3,1,45,6.2301,6.2344,6.2301,6.2344,10,7
H5J13,2013Apr,2013,4,15,2013,3,4,42,6.2382,6.2383,6.2382,6.2383,10,17
H5J13,2013Apr,2013,4,15,2013,3,5,41,6.2315,6.2315,6.230999,6.230999,2,17
H5J13,2013Apr,2013,4,15,2013,3,6,40,6.2269,6.2269,6.2235,6.2235,7,7
H5J13,2013Apr,2013,4,15,2013,3,7,39,6.2242,6.2242,6.2167,6.2167,50,47
H5J13,2013Apr,2013,4,15,2013,3,8,38,6.2179,6.2179,6.2179,6.2179,0,47
H5J13,2013Apr,2013,4,15,2013,3,11,35,6.2184,6.2187,6.216599,6.216599,15,32
H5J13,2013Apr,2013,4,15,2013,3,12,34,6.2177,6.2189,6.2157,6.2157,25,10
H5J13,2013Apr,2013,4,15,2013,3,13,33,6.2155,6.2203,6.2155,6.2203,7,10
H5J13,2013Apr,2013,4,15,2013,3,14,32,6.2174,6.2174,6.2174,6.2174,0,10
H5J13,2013Apr,2013,4,15,2013,3,15,31,6.2195,6.2195,6.2122,6.2122,15,25
H5J13,2013Apr,2013,4,15,2013,3,18,28,6.2162,6.2162,6.2162,6.2162,0,25
H5J13,2013Apr,2013,4,15,2013,3,19,27,6.2185,6.2239,6.2185,6.2239,5,20
H5J13,2013Apr,2013,4,15,2013,3,20,26,6.2191,6.2191,6.2163,6.2163,20,20
H5J13,2013Apr,2013,4,15,2013,3,21,25,6.2147,6.2147,6.214099,6.214099,5,15
H5J13,2013Apr,2013,4,15,2013,3,22,24,6.2115,6.2115,6.2115,6.2115,0,15
H5J13,2013Apr,2013,4,15,2013,3,25,21,6.2121,6.2121,6.2121,6.2121,0,15
H5J13,2013Apr,2013,4,15,2013,3,26,20,6.211699,6.211699,6.211699,6.211699,0,15
H5J13,2013Apr,2013,4,15,2013,3,27,19,6.2096,6.2152,6.2096,6.2152,1,15
H5J13,2013Apr,2013,4,15,2013,3,28,18,6.2113,6.2113,6.2113,6.2113,0,15
H5J13,2013Apr,2013,4,15,2013,4,1,14,6.208,6.208,6.2066,6.2066,15,2
H5J13,2013Apr,2013,4,15,2013,4,2,13,6.2012,6.2012,6.1953,6.1953,2,2
H5J13,2013Apr,2013,4,15,2013,4,3,12,6.1977,6.1977,6.1977,6.1977,0,2
H5J13,2013Apr,2013,4,15,2013,4,4,11,6.202899,6.202899,6.202899,6.202899,0,2
H5J13,2013Apr,2013,4,15,2013,4,5,10,6.2006,6.2006,6.2006,6.2006,0,2
H5J13,2013Apr,2013,4,15,2013,4,8,7,6.2051,6.2051,6.201,6.201,1,1
H5J13,2013Apr,2013,4,15,2013,4,9,6,6.192,6.192,6.192,6.192,0,1
H5J13,2013Apr,2013,4,15,2013,4,10,5,6.1864,6.1864,6.1864,6.1864,0,1
H5J13,2013Apr,2013,4,15,2013,4,11,4,6.1847,6.1847,6.1847,6.1847,0,1
H5J13,2013Apr,2013,4,15,2013,4,12,3,6.1865,6.1865,6.1865,6.1865,0,1
H5J13,2013Apr,2013,4,15,2013,4,15,0,0.6186,0.6186,0.6186,0.6186,0,0
H5K13,2013May,2013,5,13,2013,2,15,87,6.29,6.29,6.29,6.29,0,0
H5K13,2013May,2013,5,13,2013,2,22,80,6.2561,6.2561,6.2561,6.2561,0,0
H5K13,2013May,2013,5,13,2013,2,25,77,6.2543,6.2543,6.2543,6.2543,0,0
H5K13,2013May,2013,5,13,2013,2,26,76,6.2521,6.2521,6.2521,6.2521,0,0
H5K13,2013May,2013,5,13,2013,2,27,75,6.2509,6.2509,6.2509,6.2509,0,0
H5K13,2013May,2013,5,13,2013,2,28,74,6.245,6.245,6.245,6.245,0,0
H5K13,2013May,2013,5,13,2013,3,1,73,6.2439,6.2439,6.2439,6.2439,0,0
H5K13,2013May,2013,5,13,2013,3,4,70,6.2479,6.2479,6.2479,6.2479,0,0
H5K13,2013May,2013,5,13,2013,3,5,69,6.241,6.241,6.241,6.241,0,0
H5K13,2013May,2013,5,13,2013,3,6,68,6.2328,6.2328,6.2328,6.2328,0,0
H5K13,2013May,2013,5,13,2013,3,7,67,6.2267,6.2267,6.2267,6.2267,0,0
H5K13,2013May,2013,5,13,2013,3,8,66,6.2274,6.2274,6.2274,6.2274,0,0
H5K13,2013May,2013,5,13,2013,3,11,63,6.2264,6.2264,6.2264,6.2264,0,0
H5K13,2013May,2013,5,13,2013,3,12,62,6.224699,6.224699,6.224699,6.224699,0,0
H5K13,2013May,2013,5,13,2013,3,13,61,6.2288,6.2288,6.2288,6.2288,0,0
H5K13,2013May,2013,5,13,2013,3,14,60,6.2264,6.2264,6.2264,6.2264,0,0
H5K13,2013May,2013,5,13,2013,3,15,59,6.2215,6.2215,6.2215,6.2215,0,0
H5K13,2013May,2013,5,13,2013,3,18,56,6.2253,6.2253,6.2253,6.2253,0,0
H5K13,2013May,2013,5,13,2013,3,19,55,6.2332,6.2332,6.2332,6.2332,0,0
