symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
S8Z11,2011Dec,2011,12,21,2011,12,15,6.0,2087.0,2087.0,2087.0,2087.0,0.0,0.0
S8Z11,2011Dec,2011,12,21,2011,12,19,2.0,2101.75,2101.75,2101.75,2101.75,0.0,0.0
S8Z11,2011Dec,2011,12,21,2011,12,20,1.0,2101.75,2101.75,2101.75,2101.75,0.0,0.0
S8Z11,2011Dec,2011,12,21,2011,12,21,0.0,2101.75,2101.75,2101.75,2101.75,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,15,34.0,2096.0,2096.0,2096.0,2096.0,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,19,30.0,2080.25,2080.75,2080.25,2080.75,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,20,29.0,2080.25,2080.25,2080.25,2080.25,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,21,28.0,2098.75,2099.29,2098.75,2099.29,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,22,27.0,2101.0,2101.71,2101.0,2101.71,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,23,26.0,2095.75,2096.46,2095.75,2096.46,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,28,21.0,2095.75,2095.75,2095.75,2095.75,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,29,20.0,2084.5,2084.5,2084.5,2084.5,0.0,0.0
S8F12,2012Jan,2012,1,18,2011,12,30,19.0,2082.0,2082.75,2082.0,2082.75,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,3,15.0,2080.5,2081.25,2080.5,2081.25,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,4,14.0,2100.0,2100.75,2100.0,2100.75,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,5,13.0,2072.0,2072.71,2072.0,2072.71,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,6,12.0,2072.0,2072.0,2072.0,2072.0,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,9,9.0,2089.0,2089.0,2089.0,2089.0,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,10,8.0,2172.5,2173.14,2172.5,2173.14,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,11,7.0,2177.0,2177.0,2177.0,2177.0,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,12,6.0,2177.0,2177.0,2177.0,2177.0,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,13,5.0,2151.0,2156.25,2151.0,2156.25,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,16,2.0,2151.0,2156.25,2151.0,2156.25,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,17,1.0,2151.0,2156.25,2151.0,2156.25,0.0,0.0
S8F12,2012Jan,2012,1,18,2012,1,18,0.0,2151.0,2156.25,2151.0,2156.25,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,15,62.0,2103.0,2103.0,2103.0,2103.0,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,19,58.0,2087.25,2088.66,2087.25,2088.66,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,20,57.0,2087.25,2087.25,2087.25,2087.25,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,21,56.0,2106.25,2107.75,2106.25,2107.75,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,22,55.0,2111.0,2112.5,2111.0,2112.5,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,23,54.0,2105.75,2107.25,2105.75,2107.25,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,28,49.0,2105.75,2105.75,2105.75,2105.75,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,29,48.0,2094.5,2094.5,2094.5,2094.5,0.0,0.0
S8G12,2012Feb,2012,2,15,2011,12,30,47.0,2092.5,2094.81,2092.5,2094.81,0.0,0.0
S8G12,2012Feb,2012,2,15,2012,1,3,43.0,2091.0,2093.31,2091.0,2093.31,0.0,0.0
S8G12,2012Feb,2012,2,15,2012,1,4,42.0,2110.5,2112.81,2110.5,2112.81,0.0,0.0
S8G12,2012Feb,2012,2,15,2012,1,5,41.0,2082.0,2084.14,2082.0,2084.14,0.0,0.0
S8G12,2012Feb,2012,2,15,2012,1,6,40.0,2082.0,2082.0,2082.0,2082.0,0.0,0.0
S8G12,2012Feb,2012,2,15,2012,1,9,37.0,2098.5,2098.5,2098.5,2098.5,0.0,0.0
S8G12,2012Feb,2012,2,15,2012,1,10,36.0,2181.5,2183.47,2181.5,2183.47,0.0,0.0
