symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
U8Z11,2011Dec,2011,12,21,2011,12,15,6.0,30652.0,30652.0,30652.0,30652.0,0.0,0.0
U8Z11,2011Dec,2011,12,21,2011,12,19,2.0,31901.0,31901.0,31901.0,31901.0,0.0,0.0
U8Z11,2011Dec,2011,12,21,2011,12,20,1.0,31901.0,31901.0,31901.0,31901.0,0.0,0.0
U8Z11,2011Dec,2011,12,21,2011,12,21,0.0,31901.0,31901.0,31901.0,31901.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,15,34.0,30608.0,30608.0,30608.0,30608.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,19,30.0,30359.0,30359.0,30353.8,30353.8,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,20,29.0,30359.0,30359.0,30359.0,30359.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,21,28.0,31152.0,31152.0,31145.2,31145.2,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,22,27.0,30655.0,30655.0,30648.2,30648.2,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,23,26.0,31284.0,31284.0,31277.1,31277.1,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,28,21.0,31284.0,31284.0,31284.0,31284.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,29,20.0,31164.0,31164.0,31160.3,31160.3,0.0,0.0
U8F12,2012Jan,2012,1,18,2011,12,30,19.0,29970.0,29970.0,29963.3,29963.3,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,3,15.0,31717.0,31717.0,31708.8,31708.8,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,4,14.0,32222.0,32222.0,32213.8,32213.8,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,5,13.0,32200.0,32200.0,32183.5,32183.5,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,6,12.0,32200.0,32200.0,32200.0,32200.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,9,9.0,31959.0,31959.0,31959.0,31959.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,10,8.0,31975.0,31975.0,31958.0,31958.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,11,7.0,32359.0,32359.0,32359.0,32359.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,12,6.0,32741.0,32741.0,32741.0,32741.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,13,5.0,33242.0,33242.0,33242.0,33242.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,16,2.0,33242.0,33242.0,33242.0,33242.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,17,1.0,33242.0,33242.0,33242.0,33242.0,0.0,0.0
U8F12,2012Jan,2012,1,18,2012,1,18,0.0,33242.0,33242.0,33242.0,33242.0,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,15,62.0,30554.0,30554.0,30554.0,30554.0,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,19,58.0,30307.0,30307.0,30299.23,30299.23,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,20,57.0,30307.0,30307.0,30307.0,30307.0,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,21,56.0,31084.0,31084.0,31073.5,31073.5,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,22,55.0,30587.0,30587.0,30576.5,30576.5,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,23,54.0,31215.0,31215.0,31204.63,31204.63,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,28,49.0,31215.0,31215.0,31215.0,31215.0,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,29,48.0,31097.0,31097.0,31090.0,31090.0,0.0,0.0
U8G12,2012Feb,2012,2,15,2011,12,30,47.0,29903.0,29903.0,29893.0,29893.0,0.0,0.0
U8G12,2012Feb,2012,2,15,2012,1,3,43.0,31635.0,31635.0,31622.75,31622.75,0.0,0.0
U8G12,2012Feb,2012,2,15,2012,1,4,42.0,32140.0,32140.0,32127.63,32127.63,0.0,0.0
