symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
V6Z11,2011Dec,2011,12,21,2011,12,15,6.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6Z11,2011Dec,2011,12,21,2011,12,19,2.0,29500.0,30000.0,29500.0,29500.0,0.0,0.0
V6Z11,2011Dec,2011,12,21,2011,12,20,1.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6Z11,2011Dec,2011,12,21,2011,12,21,0.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2011,12,15,34.0,29500.0,29500.0,29500.0,29500.0,4.0,2.0
V6F12,2012Jan,2012,1,18,2011,12,19,30.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2011,12,20,29.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2011,12,21,28.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2011,12,22,27.0,29000.0,29000.0,29000.0,29000.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2011,12,23,26.0,29000.0,29000.0,29000.0,29000.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2011,12,28,21.0,29000.0,29000.0,29000.0,29000.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2011,12,29,20.0,29000.0,29000.0,29000.0,29000.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2011,12,30,19.0,29000.0,29000.0,29000.0,29000.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,3,15.0,29750.0,29750.0,29750.0,29750.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,4,14.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,5,13.0,30250.0,30250.0,30250.0,30250.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,6,12.0,30250.0,30250.0,30250.0,30250.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,9,9.0,30300.0,30300.0,30300.0,30300.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,10,8.0,30250.0,30250.0,30250.0,30250.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,11,7.0,30250.0,30250.0,30250.0,30250.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,12,6.0,30250.0,30250.0,30250.0,30250.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,13,5.0,30000.0,30000.0,30000.0,30000.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,16,2.0,30000.0,30000.0,30000.0,30000.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,17,1.0,30000.0,30000.0,30000.0,30000.0,0.0,0.0
V6F12,2012Jan,2012,1,18,2012,1,18,0.0,30000.0,30000.0,30000.0,30000.0,0.0,0.0
V6G12,2012Feb,2012,2,15,2011,12,15,62.0,29500.0,29500.0,29500.0,29500.0,4.0,0.0
V6G12,2012Feb,2012,2,15,2011,12,19,58.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6G12,2012Feb,2012,2,15,2011,12,20,57.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6G12,2012Feb,2012,2,15,2011,12,21,56.0,29500.0,29500.0,29500.0,29500.0,0.0,0.0
V6G12,2012Feb,2012,2,15,2011,12,22,55.0,29000.0,29000.0,29000.0,29000.0,0.0,0.0
V6G12,2012Feb,2012,2,15,2011,12,23,54.0,29000.0,29000.0,29000.0,29000.0,0.0,0.0
V6G12,2012Feb,2012,2,15,2011,12,28,49.0,29000.0,29000.0,29000.0,29000.0,0.0,0.0
